"variable","variable_name","value","interpretation","description","guide","headline","text"
"var1","Variable 1","1","tags and comments","Variable 1 – Alternative 1","Code guide for var1","Headline above variable 1","yes"
"var1",NA,"2",NA,"Variable 1 – Alternative 2",NA,NA,NA
"var1",NA,"3",NA,"Variable 1 – Alternative 3",NA,NA,NA
"var2","Variable 2","1",NA,"Variable 2 – Alternative 1","Code guide for var2",NA,"no"
"var2",NA,"2",NA,"Variable 2 – Alternative 2",NA,NA,NA
"var2",NA,"3",NA,"Variable 2 – Alternative 3",NA,NA,NA
"text_var_one","Text variable","text",NA,"Description: text field","Code guide text field",NA,NA
"v3","Variable 4","1","multichoice","Multiple choice variable – Alternative 1","Multiple choice variable","Another headline","yes"
"v3",NA,"2",NA,"Multiple choice variable – Alternative 2",NA,NA,NA
"v3",NA,"3",NA,"Multiple choice variable – Alternative 3",NA,NA,NA
"v3",NA,"4",NA,"Multiple choice variable – Alternative 4",NA,NA,NA
"any_name_really","Variables could have different names","a",NA,"Variable 5 – Alternative 1 (a)","Code guide for variable “any_name_really”",NA,"yes"
"any_name_really",NA,"b",NA,"Variable 5 – Alternative 2 (b)",NA,NA,NA
"any_name_really",NA,"c",NA,"Variable 5 – Alternative 3 (c)",NA,NA,NA
"text2","Just another text variable","text",NA,"(placeholder text, manipulated in variable_list.xlsx)",NA,NA,NA
